XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label,methyl_1+,fluoro_1+,azido_1+
S,0,1,0,1,0,2,_H2S_H2O,3.0,SCS+2P-H2S-H2O,835.092161,835.0922,836.0999860000001,836.1,XCS+2P,878.1469360000001,890.07172,959.104177
S,0,0,0,1,1,2,_H2S_H2O,3.0,SSU+2P-H2S-H2O,836.076177,836.0762,837.084002,837.084,XSU+2P,879.1309520000001,891.055736,960.088193
S,0,2,0,0,0,2,_H2S,3.0,SCC+2P-H2S,836.141553,836.1416,837.1493780000001,837.1494,XCC+2P,879.1963280000001,891.121112,960.1535690000001
S,0,1,0,0,1,2,_H2S,3.0,SCU+2P-H2S,837.125569,837.1256,838.1333940000001,838.1334,XCU+2P,880.1803440000001,892.105128,961.1375850000001
S,0,0,0,0,2,2,_H2S,3.0,SUU+2P-H2S,838.109585,838.1096,839.1174100000001,839.1174,XUU+2P,881.1643600000001,893.089144,962.121601
S,1,1,0,0,0,2,_H2S_H2O,3.0,SAC+2P-H2S-H2O,842.142221,842.1422,843.150046,843.15,XAC+2P,885.196996,897.12178,966.154237
S,1,0,0,0,1,2,_H2S_H2O,3.0,SAU+2P-H2S-H2O,843.126237,843.1262,844.134062,844.1341,XAU+2P,886.181012,898.1057959999999,967.138253
S,0,0,0,2,0,2,_H2S_H2O,3.0,SSS+2P-H2S-H2O,852.053334,852.0533,853.061159,853.0612,XSS+2P,895.108109,907.032893,976.06535
S,0,1,0,1,0,2,_H2S,3.0,SCS+2P-H2S,853.102726,853.1027,854.110551,854.1106,XCS+2P,896.157501,908.082285,977.114742
S,0,0,0,1,1,2,_H2S,3.0,SSU+2P-H2S,854.086742,854.0867,855.094567,855.0946,XSU+2P,897.141517,909.066301,978.098758
S,0,1,1,0,0,2,_H2S_H2O,3.0,SCG+2P-H2S-H2O,858.137136,858.1371,859.1449610000001,859.145,XCG+2P,901.1919110000001,913.116695,982.1491520000001
S,1,0,0,1,0,2,_H2S_H2O,3.0,SAS+2P-H2S-H2O,859.103394,859.1034,860.111219,860.1112,XAS+2P,902.158169,914.082953,983.11541
S,0,0,1,0,1,2,_H2S_H2O,3.0,SGU+2P-H2S-H2O,859.121152,859.1212,860.1289770000001,860.129,XGU+2P,902.1759270000001,914.100711,983.1331680000001
S,1,1,0,0,0,2,_H2S,3.0,SAC+2P-H2S,860.152786,860.1528,861.160611,861.1606,XAC+2P,903.207561,915.132345,984.164802
S,1,0,0,0,1,2,_H2S,3.0,SAU+2P-H2S,861.136802,861.1368,862.144627,862.1446,XAU+2P,904.191577,916.116361,985.148818
S,2,0,0,0,0,2,_H2S_H2O,3.0,SAA+2P-H2S-H2O,866.153454,866.1535,867.161279,867.1613,XAA+2P,909.2082290000001,921.133013,990.16547
S,0,0,0,2,0,2,_H2S,3.0,SSS+2P-H2S,870.063899,870.0639,871.071724,871.0717,XSS+2P,913.118674,925.043458,994.075915
S,0,0,1,1,0,2,_H2S_H2O,3.0,SGS+2P-H2S-H2O,875.098309,875.0983,876.106134,876.1061,XGS+2P,918.153084,930.077868,999.110325
S,0,1,1,0,0,2,_H2S,3.0,SCG+2P-H2S,876.147701,876.1477,877.155526,877.1555,XCG+2P,919.202476,931.12726,1000.159717
S,1,0,0,1,0,2,_H2S,3.0,SAS+2P-H2S,877.113959,877.114,878.121784,878.1218,XAS+2P,920.1687340000001,932.093518,1001.125975
S,0,0,1,0,1,2,_H2S,3.0,SGU+2P-H2S,877.131717,877.1317,878.139542,878.1395,XGU+2P,920.186492,932.111276,1001.143733
S,1,0,1,0,0,2,_H2S_H2O,3.0,SAG+2P-H2S-H2O,882.148369,882.1484,883.156194,883.1562,XAG+2P,925.2031440000001,937.127928,1006.160385
S,2,0,0,0,0,2,_H2S,3.0,SAA+2P-H2S,884.164019,884.164,885.1718440000001,885.1718,XAA+2P,927.2187940000001,939.143578,1008.1760350000001
S,0,0,1,1,0,2,_H2S,3.0,SGS+2P-H2S,893.108874,893.1089,894.116699,894.1167,XGS+2P,936.1636490000001,948.088433,1017.12089
S,0,2,0,0,0,3,_H2S_H2O,3.0,SCC+3P-H2S-H2O,898.097321,898.0973,899.105146,899.1051,XCC+3P,941.152096,953.07688,1022.109337
S,0,0,2,0,0,2,_H2S_H2O,3.0,SGG+2P-H2S-H2O,898.143284,898.1433,899.151109,899.1511,XGG+2P,941.1980590000001,953.122843,1022.1553
S,0,1,0,0,1,3,_H2S_H2O,3.0,SCU+3P-H2S-H2O,899.081337,899.0813,900.089162,900.0892,XCU+3P,942.136112,954.060896,1023.093353
S,0,0,0,0,2,3,_H2S_H2O,3.0,SUU+3P-H2S-H2O,900.065353,900.0654,901.073178,901.0732,XUU+3P,943.120128,955.044912,1024.077369
S,1,0,1,0,0,2,_H2S,3.0,SAG+2P-H2S,900.158934,900.1589,901.166759,901.1668,XAG+2P,943.213709,955.1384929999999,1024.17095
S,0,1,0,1,0,3,_H2S_H2O,3.0,SCS+3P-H2S-H2O,915.058494,915.0585,916.066319,916.0663,XCS+3P,958.1132690000001,970.038053,1039.07051
S,0,0,0,1,1,3,_H2S_H2O,3.0,SSU+3P-H2S-H2O,916.04251,916.0425,917.050335,917.0503,XSU+3P,959.097285,971.022069,1040.054526
S,0,2,0,0,0,3,_H2S,3.0,SCC+3P-H2S,916.107886,916.1079,917.115711,917.1157,XCC+3P,959.1626610000001,971.087445,1040.119902
S,0,0,2,0,0,2,_H2S,3.0,SGG+2P-H2S,916.153849,916.1538,917.161674,917.1617,XGG+2P,959.208624,971.1334079999999,1040.165865
S,0,1,0,0,1,3,_H2S,3.0,SCU+3P-H2S,917.091902,917.0919,918.099727,918.0997,XCU+3P,960.1466770000001,972.071461,1041.103918
S,0,0,0,0,2,3,_H2S,3.0,SUU+3P-H2S,918.075918,918.0759,919.083743,919.0837,XUU+3P,961.1306930000001,973.055477,1042.0879340000001
