XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label
S,0,0,0,0,1,3,_H2S_H2O,2.0,SU+3P-H2S-H2O,674.00638,674.0064,675.0142050000001,675.0142,XU+3P
S,0,0,0,1,0,3,_H2S_H2O,2.0,SS+3P-H2S-H2O,689.983537,689.9835,690.991362,690.9914,XS+3P
S,0,1,0,0,0,3,_H2S,2.0,SC+3P-H2S,691.032929,691.0329,692.040754,692.0408,XC+3P
S,0,0,0,0,1,3,_H2S,2.0,SU+3P-H2S,692.016945,692.0169,693.02477,693.0248,XU+3P
S,1,0,0,0,0,3,_H2S_H2O,2.0,SA+3P-H2S-H2O,697.033597,697.0336,698.041422,698.0414,XA+3P
S,0,0,0,1,0,3,_H2S,2.0,SS+3P-H2S,707.994102,707.9941,709.001927,709.0019,XS+3P
S,0,0,1,0,0,3,_H2S_H2O,2.0,SG+3P-H2S-H2O,713.028512,713.0285,714.036337,714.0363,XG+3P
S,1,0,0,0,0,3,_H2S,2.0,SA+3P-H2S,715.044162,715.0442,716.051987,716.052,XA+3P
S,0,0,1,0,0,3,_H2S,2.0,SG+3P-H2S,731.039077,731.0391,732.046902,732.0469,XG+3P
S,0,2,0,0,0,2,_H2S_H2O,3.0,SCC+2P-H2S-H2O,818.130988,818.131,819.138813,819.1388,XCC+2P
S,0,1,0,0,1,2,_H2S_H2O,3.0,SCU+2P-H2S-H2O,819.115004,819.115,820.122829,820.1228,XCU+2P
S,0,0,0,0,2,2,_H2S_H2O,3.0,SUU+2P-H2S-H2O,820.09902,820.099,821.106845,821.1068,XUU+2P
S,0,1,0,1,0,2,_H2S_H2O,3.0,SCS+2P-H2S-H2O,835.092161,835.0922,836.0999860000001,836.1,XCS+2P
S,0,0,0,1,1,2,_H2S_H2O,3.0,SSU+2P-H2S-H2O,836.076177,836.0762,837.084002,837.084,XSU+2P
S,0,2,0,0,0,2,_H2S,3.0,SCC+2P-H2S,836.141553,836.1416,837.1493780000001,837.1494,XCC+2P
S,0,1,0,0,1,2,_H2S,3.0,SCU+2P-H2S,837.125569,837.1256,838.1333940000001,838.1334,XCU+2P
S,0,0,0,0,2,2,_H2S,3.0,SUU+2P-H2S,838.109585,838.1096,839.1174100000001,839.1174,XUU+2P
S,1,1,0,0,0,2,_H2S_H2O,3.0,SAC+2P-H2S-H2O,842.142221,842.1422,843.150046,843.15,XAC+2P
S,1,0,0,0,1,2,_H2S_H2O,3.0,SAU+2P-H2S-H2O,843.126237,843.1262,844.134062,844.1341,XAU+2P
S,0,0,0,2,0,2,_H2S_H2O,3.0,SSS+2P-H2S-H2O,852.053334,852.0533,853.061159,853.0612,XSS+2P
S,0,1,0,1,0,2,_H2S,3.0,SCS+2P-H2S,853.102726,853.1027,854.110551,854.1106,XCS+2P
S,0,0,0,1,1,2,_H2S,3.0,SSU+2P-H2S,854.086742,854.0867,855.094567,855.0946,XSU+2P
S,0,1,1,0,0,2,_H2S_H2O,3.0,SCG+2P-H2S-H2O,858.137136,858.1371,859.1449610000001,859.145,XCG+2P
S,1,0,0,1,0,2,_H2S_H2O,3.0,SAS+2P-H2S-H2O,859.103394,859.1034,860.111219,860.1112,XAS+2P
S,0,0,1,0,1,2,_H2S_H2O,3.0,SGU+2P-H2S-H2O,859.121152,859.1212,860.1289770000001,860.129,XGU+2P
S,1,1,0,0,0,2,_H2S,3.0,SAC+2P-H2S,860.152786,860.1528,861.160611,861.1606,XAC+2P
S,1,0,0,0,1,2,_H2S,3.0,SAU+2P-H2S,861.136802,861.1368,862.144627,862.1446,XAU+2P
S,2,0,0,0,0,2,_H2S_H2O,3.0,SAA+2P-H2S-H2O,866.153454,866.1535,867.161279,867.1613,XAA+2P
S,0,0,0,2,0,2,_H2S,3.0,SSS+2P-H2S,870.063899,870.0639,871.071724,871.0717,XSS+2P
S,0,0,1,1,0,2,_H2S_H2O,3.0,SGS+2P-H2S-H2O,875.098309,875.0983,876.106134,876.1061,XGS+2P
S,0,1,1,0,0,2,_H2S,3.0,SCG+2P-H2S,876.147701,876.1477,877.155526,877.1555,XCG+2P
S,1,0,0,1,0,2,_H2S,3.0,SAS+2P-H2S,877.113959,877.114,878.121784,878.1218,XAS+2P
S,0,0,1,0,1,2,_H2S,3.0,SGU+2P-H2S,877.131717,877.1317,878.139542,878.1395,XGU+2P
S,1,0,1,0,0,2,_H2S_H2O,3.0,SAG+2P-H2S-H2O,882.148369,882.1484,883.156194,883.1562,XAG+2P
S,2,0,0,0,0,2,_H2S,3.0,SAA+2P-H2S,884.164019,884.164,885.1718440000001,885.1718,XAA+2P
S,0,0,1,1,0,2,_H2S,3.0,SGS+2P-H2S,893.108874,893.1089,894.116699,894.1167,XGS+2P
S,0,2,0,0,0,3,_H2S_H2O,3.0,SCC+3P-H2S-H2O,898.097321,898.0973,899.105146,899.1051,XCC+3P
S,0,0,2,0,0,2,_H2S_H2O,3.0,SGG+2P-H2S-H2O,898.143284,898.1433,899.151109,899.1511,XGG+2P
S,0,1,0,0,1,3,_H2S_H2O,3.0,SCU+3P-H2S-H2O,899.081337,899.0813,900.089162,900.0892,XCU+3P
S,0,0,0,0,2,3,_H2S_H2O,3.0,SUU+3P-H2S-H2O,900.065353,900.0654,901.073178,901.0732,XUU+3P
S,1,0,1,0,0,2,_H2S,3.0,SAG+2P-H2S,900.158934,900.1589,901.166759,901.1668,XAG+2P
S,0,1,0,1,0,3,_H2S_H2O,3.0,SCS+3P-H2S-H2O,915.058494,915.0585,916.066319,916.0663,XCS+3P
S,0,0,0,1,1,3,_H2S_H2O,3.0,SSU+3P-H2S-H2O,916.04251,916.0425,917.050335,917.0503,XSU+3P
S,0,2,0,0,0,3,_H2S,3.0,SCC+3P-H2S,916.107886,916.1079,917.115711,917.1157,XCC+3P
S,0,0,2,0,0,2,_H2S,3.0,SGG+2P-H2S,916.153849,916.1538,917.161674,917.1617,XGG+2P
S,0,1,0,0,1,3,_H2S,3.0,SCU+3P-H2S,917.091902,917.0919,918.099727,918.0997,XCU+3P
S,0,0,0,0,2,3,_H2S,3.0,SUU+3P-H2S,918.075918,918.0759,919.083743,919.0837,XUU+3P
S,1,1,0,0,0,3,_H2S_H2O,3.0,SAC+3P-H2S-H2O,922.108554,922.1086,923.116379,923.1164,XAC+3P
S,1,0,0,0,1,3,_H2S_H2O,3.0,SAU+3P-H2S-H2O,923.09257,923.0926,924.100395,924.1004,XAU+3P
S,0,0,0,2,0,3,_H2S_H2O,3.0,SSS+3P-H2S-H2O,932.019667,932.0197,933.027492,933.0275,XSS+3P
S,0,1,0,1,0,3,_H2S,3.0,SCS+3P-H2S,933.069059,933.0691,934.076884,934.0769,XCS+3P
S,0,0,0,1,1,3,_H2S,3.0,SSU+3P-H2S,934.053075,934.0531,935.0609,935.0609,XSU+3P
S,0,1,1,0,0,3,_H2S_H2O,3.0,SCG+3P-H2S-H2O,938.103469,938.1035,939.111294,939.1113,XCG+3P
S,1,0,0,1,0,3,_H2S_H2O,3.0,SAS+3P-H2S-H2O,939.069727,939.0697,940.077552,940.0776,XAS+3P
S,0,0,1,0,1,3,_H2S_H2O,3.0,SGU+3P-H2S-H2O,939.087485,939.0875,940.09531,940.0953,XGU+3P
S,1,1,0,0,0,3,_H2S,3.0,SAC+3P-H2S,940.119119,940.1191,941.126944,941.1269,XAC+3P
S,1,0,0,0,1,3,_H2S,3.0,SAU+3P-H2S,941.103135,941.1031,942.11096,942.111,XAU+3P
S,2,0,0,0,0,3,_H2S_H2O,3.0,SAA+3P-H2S-H2O,946.119787,946.1198,947.127612,947.1276,XAA+3P
S,0,0,0,2,0,3,_H2S,3.0,SSS+3P-H2S,950.030232,950.0302,951.038057,951.0381,XSS+3P
S,0,0,1,1,0,3,_H2S_H2O,3.0,SGS+3P-H2S-H2O,955.064642,955.0646,956.072467,956.0725,XGS+3P
S,0,1,1,0,0,3,_H2S,3.0,SCG+3P-H2S,956.114034,956.114,957.121859,957.1219,XCG+3P
S,1,0,0,1,0,3,_H2S,3.0,SAS+3P-H2S,957.080292,957.0803,958.088117,958.0881,XAS+3P
S,0,0,1,0,1,3,_H2S,3.0,SGU+3P-H2S,957.09805,957.0981,958.105875,958.1059,XGU+3P
S,1,0,1,0,0,3,_H2S_H2O,3.0,SAG+3P-H2S-H2O,962.114702,962.1147,963.122527,963.1225,XAG+3P
S,2,0,0,0,0,3,_H2S,3.0,SAA+3P-H2S,964.130352,964.1304,965.138177,965.1382,XAA+3P
S,0,0,1,1,0,3,_H2S,3.0,SGS+3P-H2S,973.075207,973.0752,974.083032,974.083,XGS+3P
S,0,2,0,0,0,4,_H2S_H2O,3.0,SCC+4P-H2S-H2O,978.063654,978.0637,979.071479,979.0715,XCC+4P
S,0,0,2,0,0,3,_H2S_H2O,3.0,SGG+3P-H2S-H2O,978.109617,978.1096,979.117442,979.1174,XGG+3P
S,0,1,0,0,1,4,_H2S_H2O,3.0,SCU+4P-H2S-H2O,979.04767,979.0477,980.055495,980.0555,XCU+4P
S,0,0,0,0,2,4,_H2S_H2O,3.0,SUU+4P-H2S-H2O,980.031686,980.0317,981.039511,981.0395,XUU+4P
S,1,0,1,0,0,3,_H2S,3.0,SAG+3P-H2S,980.125267,980.1253,981.133092,981.1331,XAG+3P
S,0,1,0,1,0,4,_H2S_H2O,3.0,SCS+4P-H2S-H2O,995.024827,995.0248,996.032652,996.0327,XCS+4P
